Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Scott Hill,18/05/2024,Narrogin,EXPERT TIPS,FALSE,Harness,2,8,BACK,WIN,3.2,8. Gota Good Warhol,1,,228989800,40718158,7,0,2.66,-1,0,0
Scott Hill,18/05/2024,Narrogin,EXPERT TIPS,FALSE,Harness,5,9,BACK,PLACE,1.3,9. Lord Titanium,5,,228989807,53126823,7,1,1.28,1.3,0,0
Scott Hill,18/05/2024,Narrogin,EXPERT TIPS,FALSE,Harness,7,3,BACK,WIN,1.3,3. Heartofahlia,5,BEST BET,228989810,59467035,7,0,1.41,-5,-5,-5
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,1,DESERT HERO,BACK,WIN,2,Desert Hero,4,BEST BET,229010361,40786089,5,0,2.21,-4,-4,-4
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,2,13,BACK,WIN,2.75,Relief Rally,3,,229010345,55067918,5,0,4.58,-3,-3,0
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,3,6,BACK,WIN,5.5,Goodwood Odyssey,1,,229010374,61302354,5,0,7.6,-1,-1,0
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,3,1,BACK,WIN,5,Black Run,1,,229010374,28364502,5,0,9.26,-1,-1,0
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,3,1,BACK,PLACE,5,Black Run,1,,229010375,28364502,5,0,3.57,-1,0,0
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,3,12,BACK,WIN,9,Prepschool,1,,229010374,58186710,5,0,24.16,-1,-1,0
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,3,12,BACK,PLACE,9,Prepschool,1,,229010375,58186710,5,0,6.27,-1,0,0
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,4,2,BACK,WIN,3,Big Rock,5,,229010368,10292142,5,0,4.83,-5,-5,0
Rory Flanagan,18/05/2024,Newbury,EXPERT TIPS,TRUE,Thoroughbred,7,6,BACK,WIN,1.7,Siyola,5,BEST BET,229010411,68650129,5,0,4.35,-5,-5,-5
Mitch Lewis,18/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,4,8,LAY,WIN,4.2,8. Unusual Legacy,2,BEST BET,228960533,69390423,10,1,2.95,-2,-2,-2
Mitch Lewis,18/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,6,13,BACK,WIN,5,13. Martini Mumma,1,,228960549,68638329,10,0,4.48,-1,0,0
Mitch Lewis,18/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,6,2,BACK,WIN,5.5,2. Saltaire,1,,228960549,48372488,10,0,12.24,-1,-1,0
Mitch Lewis,18/05/2024,Scone,EXPERT TIPS,FALSE,Thoroughbred,7,1,BACK,WIN,3.8,1. Insurrection,2,BEST BET,228960557,52013952,10,0,5.4,-2,-2,-2
