Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,2290676,7,Ravenclaw,4.95,0.0,5.33,1.0,1.62,0.014402941232209532
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,2918568,9,Val Disere,16.13,0.0,28.52,0.0,4.33,0.02693316661869854
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,4567523,11,Wipeout,24.64,0.0,21.61,0.0,3.94,-0.005690457159684373
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,64342667,1,Aranese,72.44,0.0,146.1,0.0,12.7,0.006959900917316074
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,64342668,2,Baile Fervor,29.17,0.0,17.97,0.0,3.72,-0.021366506360637257
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,64342669,4,Ghaznavi,40.37,0.0,52.04,0.0,9.4,0.005554881755750092
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,64342670,5,Horns,20.5,1.0,16.69,1.0,3.1,-0.011135629630712116
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,64342671,6,Maracaibo Sun,25.7,0.0,15.44,1.0,3.49,-0.025856333541662474
2024-01-01,Canterbury,R3 1200m 3yo,3,222975993,64342672,10,Viaconi,1.87,0.0,1.78,0.0,1.14,-0.027038394520218834
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,2197659,2,Capital Asset,8.41,0.0,13.5,0.0,3.45,0.0448319901352006
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,2456247,9,Botanica,10.15,0.0,10.26,1.0,3.3,0.0010562805481135612
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,25462994,8,Lancaster Bomber,11.77,1.0,9.34,1.0,2.8,-0.022104613951559063
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,47240779,6,Castillian,5.94,0.0,5.14,0.0,2.23,-0.026202360832711047
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,56807291,1,Huon,9.51,0.0,9.79,0.0,3.0,0.003007425117799764
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,57626114,7,Cream Rises,35.27,0.0,42.0,0.0,9.01,0.004543183874059973
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,64342673,3,Amati,7.17,0.0,5.3,0.0,2.18,-0.049209231336017484
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,64342674,4,Fangela,6.0,0.0,6.72,1.0,2.81,0.01785714285714285
2024-01-01,Canterbury,R4 1250m Hcap,4,222976001,8477645,5,One Destiny,11.16,0.0,8.36,0.0,3.13,-0.0300114901133577
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,2426341,1,Malabar,9.27,0.0,5.0,1.0,2.08,-0.09212513484358145
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,49807639,5,Lalaguna,9.47,0.0,15.59,0.0,4.46,0.04145293906079289
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,53184133,2,My Truth,13.48,0.0,8.39,0.0,3.14,-0.045005535061875976
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,63083970,3,Hellfire Express,7.71,1.0,8.15,1.0,2.6,0.007002299618852112
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,64342675,4,Ballistic Therapy,9.09,0.0,7.6,0.0,2.97,-0.02156794626831103
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,64342676,6,Smart As Smart,23.16,0.0,26.0,0.0,6.6,0.004716354457287096
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,64342678,8,This Is The Moment,12.77,0.0,19.0,0.0,4.4,0.025676956683015298
2024-01-01,Canterbury,R5 1550m Hcap,5,222976009,64342679,9,Utopian Wine,3.83,0.0,5.16,1.0,1.91,0.06729815613172221
